...1,contain,name_g,score_g,num_g,score_i,num_i,score_t,num_t,address,區,路,段,cate_早餐,cate_中式,cate_日式,cate_韓式,cate_港式,cate_東南亞,cate_美式,cate_中東,cate_歐式,cate_非洲,cate_甜點.咖啡廳,cate_飲料,cate_酒吧,ave_price,image_file,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,image_source,link_i,link_t,name_i,name_t,max_price,min_price,score_w
1,two,西藏廚房,4.3,889,NA,NA,4.5,14,100 台灣大安台北和平東路2段217號,大安區,,,0,0,0,0,0,1,0,0,0,0,0,0,0,195,tripadvisor_0.png,"11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM","11:00AM-2:30PM, 5:00PM-10:30PM",https://media-cdn.tripadvisor.com/media/photo-s/04/c7/24/dd/getlstd-property-photo.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d5453011-Reviews-Tibet_Kitchen-Da_an_Taipei.html,,Tibet Kitchen,290,100,4.303100775
2,two,HOW&THE JUICE,4.9,137,NA,NA,4,1,"106 台灣大安台北No 97, Section 4, Zhongxiao East Road Da'an District",大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_1.png,休息,11:30AM-8:30PM,11:30AM-8:30PM,11:30AM-8:30PM,11:30AM-8:30PM,11:30AM-8:30PM,11:30AM-8:30PM,https://media-cdn.tripadvisor.com/media/photo-s/0f/72/bb/e0/sign.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d12480582-Reviews-HOW_the_JUICE-Da_an_Taipei.html,,HOW & the JUICE,NA,NA,4.893478261
3,two,CAMPUS CAFE 忠孝店,3.9,3530,NA,NA,4,147,"106 台灣大安台北No. 203, Section 3, Zhongxiao East Rd, Daan District, Taipei City, Taiwan 106",大安區,,,0,0,0,0,0,0,1,0,0,0,1,0,0,NA,tripadvisor_2.png,3:00PM-10:00PM,3:00PM-10:00PM,3:00PM-10:00PM,3:00PM-10:00PM,3:00PM-10:00PM,3:00PM-10:00PM,休息,https://media-cdn.tripadvisor.com/media/photo-o/06/d2/38/9a/campus-cafe.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d7189120-Reviews-Campus_Cafe-Da_an_Taipei.html,,Campus Cafe,NA,NA,3.903997824
4,two,J's Place 輕鬆小酒吧,4.5,250,NA,NA,4.5,15,"106 台灣大安台北No. 27, Ln. 420, Guangfu S. Rd., Daan Dist",大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_3.png,9:00PM-02:00AM,9:00PM-02:00AM,9:00PM-02:00AM,9:00PM-02:00AM,9:00PM-02:00AM,9:00PM-02:00AM,9:00PM-02:00AM,https://media-cdn.tripadvisor.com/media/photo-s/08/77/54/30/chess-cake.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d6152854-Reviews-J_s_Place-Da_an_Taipei.html,,J's Place,NA,NA,4.5
5,two,Rilakkuma Café 拉拉熊咖啡廳(台北店),4.4,2563,NA,NA,4.5,2688,"106 台灣大安台北No. 3, Lane 248, Section 4, Zhongxiao E Rd, Da'an District",大安區,,,0,0,0,0,0,0,1,0,0,0,1,0,0,385,tripadvisor_4.png,"11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM","11:30AM-2:30PM, 6:00PM-9:30PM",https://media-cdn.tripadvisor.com/media/photo-p/15/8e/c9/53/photo3jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d9717274-Reviews-Rilakkuma_CafE-Da_an_Taipei.html,,Rilakkuma CafE,462,308,4.451190249
6,two,KIKI餐廳 (延吉創始店),4.1,1347,NA,NA,4.5,439,"106 台灣大安台北No. 47, Lane 280, Guangfu South Road",大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_5.png,09:00AM-08:59AM,09:00AM-08:59AM,09:00AM-08:59AM,09:00AM-08:59AM,09:00AM-08:59AM,09:00AM-08:59AM,09:00AM-08:59AM,https://media-cdn.tripadvisor.com/media/photo-p/12/45/1d/41/photo4jpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d6133684-Reviews-Kiki_Restaurant-Da_an_Taipei.html,,Kiki餐廳(延吉創始店),NA,NA,4.198320269
7,two,泰式蔬食,4.2,956,NA,NA,4,30,106 台灣大安台北大安區仁愛路四段300巷25弄3號,大安區,,,0,0,0,0,0,0,0,0,0,0,0,0,0,275,tripadvisor_6.png,"12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM","12:00PM-2:00PM, 6:00PM-9:00PM",https://media-cdn.tripadvisor.com/media/photo-p/12/a5/91/58/valentine-special-set.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d10069130-Reviews-The_green_Room-Da_an_Taipei.html,,The green Room,400,150,4.193914807
8,two,寬心園精緻蔬食料理 台北安和店,4.1,947,NA,NA,4,193,106 台灣大安台北大安區仁愛路四段345巷4弄51號大安區,大安區,,,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,tripadvisor_7.png,09:00AM-12:00AM,09:00AM-12:00AM,09:00AM-12:00AM,09:00AM-12:00AM,09:00AM-12:00AM,09:00AM-12:00AM,09:00AM-12:00AM,https://media-cdn.tripadvisor.com/media/photo-s/17/06/29/a1/20190328-185759-largejpg.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d6151792-Reviews-Easy_House_Vegetarian_Cuisine-Da_an_Taipei.html,,寬心園精緻蔬食料理,NA,NA,4.083070175
9,two,Café de Saison 四季咖啡,4.3,3,NA,NA,5,1,106 台灣大安台北大安區仁愛路四段406-1號,大安區,,,0,0,0,0,0,0,0,0,1,0,0,0,0,300,,11:00AM-5:00PM,11:00AM-5:00PM,11:00AM-5:00PM,11:00AM-5:00PM,11:00AM-5:00PM,休息,休息,,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d11952745-Reviews-Cafe_de_Saison-Da_an_Taipei.html,,四季咖啡,400,200,4.475
10,two,樂軒和牛專門店,4.7,2689,NA,NA,5,311,106 台灣大安台北大安區仁愛路四段91巷9號,大安區,,,0,1,1,0,0,0,1,0,0,0,0,0,0,3400,tripadvisor_9.png,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-9:30PM,11:00AM-10:00PM,11:00AM-10:00PM,11:00AM-9:30PM,https://media-cdn.tripadvisor.com/media/photo-s/11/4b/9c/cb/caption.jpg,,https://www.tripadvisor.com.tw/Restaurant_Review-g13811269-d11909222-Reviews-Rakuken_Taipei-Da_an_Taipei.html,,樂軒和牛專門店,3900,2900,4.7311
